Type :,DIL805
Test :,_Henrique-sp3-aq10Cs-resfr100Cs_01.01.07_


;Time;Temperature;Change in Length;Nominal Temperature
 193;32.64072418;326.38241577;41.48527145;326.39538574
 194;32.81027603;328.06658936;41.71348953;328.09075928
 195;32.98092270;329.80267334;41.96531296;329.79693604
 196;33.15037537;331.42913818;42.27746582;331.49172974
 197;33.32116318;333.21588135;42.56076813;333.19989014
 198;33.49058914;334.88604736;42.81783676;334.89398193
 199;33.66013336;336.59649658;43.09589386;336.58938599
 200;33.83079910;338.27938843;43.33197784;338.29605103
 201;34.00025558;340.00396729;43.65200424;339.99072266
 202;34.17091751;341.81872559;43.89857864;341.69723511
 203;34.34056473;343.37939453;44.14253235;343.39361572
 204;34.51002502;345.08758545;44.44157410;345.08837891
 205;34.68069458;346.89425659;44.70126724;346.79504395
 206;34.85023117;348.60406494;44.93997574;348.49047852
 207;35.02094650;350.22369385;45.24688339;350.19738770
 208;35.19047546;351.90481567;45.52231598;351.89282227
 209;35.36001968;353.57888794;45.83184814;353.58822632
 210;35.53073883;355.33544922;46.05744171;355.29547119
 211;35.70027924;356.95706177;46.34074020;356.99084473
 212;35.87101364;358.69668579;46.63978195;358.69824219
 213;36.04057312;360.45822144;46.91259003;360.39382935
 214;36.21000290;362.11224365;47.19064713;362.08813477
 215;36.38076019;363.88125610;47.46345520;363.79577637
 216;36.55027771;365.55249023;47.68904495;365.49075317
 217;36.72101212;367.31417847;47.98808670;367.19812012
 218;36.89056396;368.88699341;48.27138901;368.89361572
 219;37.06008530;370.58511353;48.54419708;370.58895874
 220;37.23085022;372.24630737;48.83274460;372.29647827
 221;37.40034485;373.90249634;49.11866760;373.99157715
 222;37.57104111;375.72937012;49.36262131;375.69839478
 223;37.74051666;377.36160278;49.65116882;377.39312744
 224;37.91115952;379.07440186;49.91873169;379.09973145
 225;38.08065033;380.82461548;50.17842484;380.79449463
 226;38.25020218;382.51834106;50.53517532;382.49011230
 227;38.42083740;384.14184570;50.80273819;384.19647217
 228;38.59036636;385.99234009;51.06505203;385.89175415
 229;38.76107407;387.57772827;51.31949997;387.59881592
 230;38.93061066;389.28533936;51.58968353;389.29415894
 231;39.10002899;390.94058228;51.90970993;390.98831177
 232;39.27071762;392.85272217;52.19563293;392.69515991
 233;39.44015121;394.34158325;52.43434143;394.38964844
 234;39.61082077;396.14004517;52.70190430;396.09619141
 235;39.78034973;397.74877930;53.01668167;397.79156494
 236;39.95103836;399.54296875;53.28686905;399.49841309
 237;40.12047577;401.10971069;53.55967712;401.19277954
 238;40.29119873;402.89343262;53.86133957;402.89996338
 239;40.46070862;404.58407593;54.13677216;404.59515381
 240;40.63015747;406.29830933;54.40958023;406.28955078
 241;40.80079651;407.99420166;54.68763733;407.99603271
 242;40.97035599;409.73968506;54.97880554;409.69158936
 243;41.14105225;411.40603638;55.26997757;411.39862061
 244;41.31057739;413.14065552;55.56114960;413.09384155
 245;41.48004532;414.79415894;55.86281204;414.78851318
 246;41.65071869;416.45999146;56.11463547;416.49539185
 247;41.82019806;418.19848633;56.44515228;418.19006348
 248;41.99085999;419.95199585;56.71796036;419.89666748
